Date,Calories (kcal),Distance (m),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Move Minutes count,Cycling duration (ms),Inactive duration (ms),Walking duration (ms),Running duration (ms),Volleyball duration (ms),High intensity interval training duration (ms)
2018-06-10,941.1714129894308,,,,,,1.923571424824851,2.299999952316284,0.9200000166893005,215,,,,,,86400000,,,,
2018-06-11,1629.6653444399544,512.191992521286,,,,,1.281981623856573,16.459999084472656,0.08634380996227264,947,,,,10,,80896060,898421,,,
2018-06-12,2030.1476021134235,4937.005452871323,12.936540603637695,80.20811462402344,12.942469596862793,80.21372985839844,0.9045001945105938,8.569999694824219,0.07081671059131622,7001,,,,81,,69406752,8801229,,,
2018-06-13,1068.5690988758452,96.86815643310547,,,,,1.4131030651840275,3.799999952316284,0.5199999809265137,394,,,,2,,86232869,167131,,,
2018-06-14,1685.7477895426762,625.6745939850807,,,,,0.47825816997429166,6.940000057220459,0.2535909116268158,1333,,,,16,,79413496,2014001,,,
2018-06-15,1184.6132760818136,1516.4703534841537,,,,,0.7354912542361209,10.670000076293945,0.0618668831884861,2448,,,,16,,75771479,2874984,,,
2018-06-16,1633.042697217404,349.9793276786804,,,,,1.5585567690045479,8.229999542236328,0.2774852216243744,956,,,,13,,82328023,965602,,,
2018-06-17,1617.1817080792198,367.64026737213135,,,,,0.6748072305855527,4.110000133514404,0.2842734158039093,934,,,,10,,83650315,650099,,,
2018-06-18,1622.0332730304901,126.82027816772461,,,,,0.6044318878162017,3.990000009536743,0.35353341698646545,803,,,,4,,85500628,746605,,,
2018-06-19,1601.9482445431572,,,,,,0.8946922565309366,1.6799999475479126,0.5299999713897705,361,,,,,,86052922,347078,,,
2018-06-20,1661.2511573697695,34.64627516269684,,,,,0.27420402952032297,0.28907695412635803,0.2596856951713562,1516,,,,,,84596288,1526719,,,
2018-06-21,499.0318378090553,,,,,,1.2255638790859116,2.0999999046325684,0.6100000143051147,447,,,,,,86309877,,,,
2018-06-22,762.4105584942613,39.627591609954834,,,,,1.58876155829517,6.420000076293945,0.1929035186767578,517,,,,2,,84525923,85888,,,
2018-06-23,2034.4939955905156,4831.3660826087,13.082612991333008,80.27887725830078,13.09067153930664,80.2835922241211,1.275918052436895,10.869999885559082,0.25284793972969055,8866,,,,101,,70400077,8951189,,,
2018-06-24,1759.9759597861976,3696.6646690368652,12.934161186218262,80.2118148803711,12.942609786987305,80.21500396728516,0.7202800998956194,10.0,0.2752016484737396,992,,,,46,2409317,82123185,908151,,,
2018-06-25,1599.7151175210975,,,,,,1.4199999570846558,1.4199999570846558,1.4199999570846558,832,,,,,,86097343,302657,,,
2018-06-26,1612.4677636349975,140.87907600402832,,,,,1.7595398003026788,2.8299999237060547,0.3454856276512146,582,,,,4,,84717393,556330,,,
2018-06-27,1639.2346767223812,419.3251781463623,,,,,0.6217514743927057,1.21855890750885,0.3490910232067108,963,,,,11,,85472216,806639,121145,,
